Position,"Track Name",Artist,URL
1,"Amor ou o Litrão","Petter Ferraz",https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
2,"Eu vou tirar você do cabaré","Israell Muniz",https://open.spotify.com/track/3yBOCItZQIjGV0PT5UJCeS
3,"Space Girl","Frances Forever",https://open.spotify.com/track/5tfZ1uYrArdbDqiZ7z1aCE
4,"Basta você me ligar - English Version","Kim Sola",https://open.spotify.com/track/3qBYNGry835B4vy4IV29AG
5,"Ilusão (Cracolândia)","MC Hariel",https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
6,Home,"Edith Whiskers",https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR
7,"Visão de Futuro","Abbot MC",https://open.spotify.com/track/2RjvQychgHPcxpghmP2p9s
8,"Dancing in My Room",347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
9,"25 É Natal, 31 É Ano Novo (feat. MC GW)","Barca Na Batida",https://open.spotify.com/track/1tymhVit98PMV3xy7GBAyY
10,Cabaré,"Nêgo Jhá",https://open.spotify.com/track/3NYdvUDBa2Y5UNhqH4INC1
11,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
12,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
13,Escorpião,Xamã,https://open.spotify.com/track/46AFlLXnzZHZBxq44rVnsM
14,"Black Mamba",aespa,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
15,"Just the Two of Us","Grover Washington, Jr.",https://open.spotify.com/track/5fdNHVZHbWB1AaXk4RBGVD
16,"Lance Individual","Jorge & Mateus",https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
17,"Faz a Pose","MC Teteu",https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
18,Nêga,"Tarcísio do Acordeon",https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
19,Letícia,"Zé Vaqueiro",https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
20,"Sentimento Seu Nenhum","DJ Lucas Beat",https://open.spotify.com/track/74mDE76hPSE74NkqqJk4Ke
